Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo suite,Chrome 124.0.0.0,,,22-04-2024 12:06:12,22-04-2024 12:07:33,1m - 20.647s,FAILED
,,,,,,,
Test Cases/Demo tests/Test1_RecordMode,Chrome 124.0.0.0,This is record test,@sanity,22-04-2024 12:06:12,22-04-2024 12:06:23,10.669s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,22-04-2024 12:06:13,22-04-2024 12:06:14,1.396s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 124.0.0.0,,,22-04-2024 12:06:14,22-04-2024 12:06:16,1.751s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 124.0.0.0,,,22-04-2024 12:06:16,22-04-2024 12:06:17,0.757s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 124.0.0.0,,,22-04-2024 12:06:17,22-04-2024 12:06:17,0.685s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""9NLz+4tGZcQ="")",Chrome 124.0.0.0,,,22-04-2024 12:06:17,22-04-2024 12:06:18,0.358s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/div_Demo account_form-group""))",Chrome 124.0.0.0,,,22-04-2024 12:06:18,22-04-2024 12:06:18,0.336s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 124.0.0.0,,,22-04-2024 12:06:18,22-04-2024 12:06:18,0.337s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/button_Login""))",Chrome 124.0.0.0,,,22-04-2024 12:06:18,22-04-2024 12:06:19,0.691s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 124.0.0.0,,,22-04-2024 12:06:19,22-04-2024 12:06:20,1.199s,PASSED
waitForPageLoad(5),Chrome 124.0.0.0,,,22-04-2024 12:06:20,22-04-2024 12:06:20,0.109s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 124.0.0.0,,,22-04-2024 12:06:20,22-04-2024 12:06:21,0.385s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 124.0.0.0,,,22-04-2024 12:06:21,22-04-2024 12:06:21,0.361s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/td_26""))",Chrome 124.0.0.0,,,22-04-2024 12:06:21,22-04-2024 12:06:22,0.580s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""), ""connet"")",Chrome 124.0.0.0,,,22-04-2024 12:06:22,22-04-2024 12:06:22,0.884s,PASSED
"rightClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""))",Chrome 124.0.0.0,,,22-04-2024 12:06:22,22-04-2024 12:06:23,0.468s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,22-04-2024 12:06:23,22-04-2024 12:06:23,0.150s,PASSED
,,,,,,,
Test Cases/Demo tests/Test3_ScriptMode,Chrome 124.0.0.0,,@sainty,22-04-2024 12:07:06,22-04-2024 12:07:33,26.883s,FAILED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 124.0.0.0,,,22-04-2024 12:07:06,22-04-2024 12:07:09,3.337s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 124.0.0.0,,,22-04-2024 12:07:09,22-04-2024 12:07:11,1.206s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 124.0.0.0,,,22-04-2024 12:07:11,22-04-2024 12:07:11,0.353s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Chrome 124.0.0.0,,,22-04-2024 12:07:11,22-04-2024 12:07:12,1.546s,PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/h6_Dashboard""))",Chrome 124.0.0.0,,,22-04-2024 12:07:12,22-04-2024 12:07:15,2.061s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username_username""), ""marwa"")",Chrome 124.0.0.0,,,22-04-2024 12:07:15,22-04-2024 12:07:33,18.366s,FAILED
