Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo suite,Chrome 124.0.0.0,,,30-04-2024 14:19:11,30-04-2024 14:19:36,24.611s,PASSED
,,,,,,,
Test Cases/Demo tests/Test8_DataDriven,Chrome 124.0.0.0,,,30-04-2024 14:19:12,30-04-2024 14:19:24,12.305s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,30-04-2024 14:19:12,30-04-2024 14:19:13,1.424s,PASSED
"navigateToUrl(""https://admin-demo.nopcommerce.com/login"")",Chrome 124.0.0.0,,,30-04-2024 14:19:13,30-04-2024 14:19:15,1.851s,PASSED
"setText(findTestObject(""Object Repository/Page_Your store. Login/input_Email_Email""), username)",Chrome 124.0.0.0,,,30-04-2024 14:19:15,30-04-2024 14:19:17,1.382s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Your store. Login/input_Password_Password""), password)",Chrome 124.0.0.0,,,30-04-2024 14:19:17,30-04-2024 14:19:17,0.351s,PASSED
"click(findTestObject(""Object Repository/Page_Your store. Login/button_Log in""))",Chrome 124.0.0.0,,,30-04-2024 14:19:17,30-04-2024 14:19:19,2.404s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard  nopCommerce administration/a_Logout""))",Chrome 124.0.0.0,,,30-04-2024 14:19:19,30-04-2024 14:19:24,4.508s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,30-04-2024 14:19:24,30-04-2024 14:19:24,0.137s,PASSED
,,,,,,,
Test Cases/Demo tests/Test8_DataDriven,Chrome 124.0.0.0,,,30-04-2024 14:19:24,30-04-2024 14:19:36,12.092s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,30-04-2024 14:19:24,30-04-2024 14:19:25,0.715s,PASSED
"navigateToUrl(""https://admin-demo.nopcommerce.com/login"")",Chrome 124.0.0.0,,,30-04-2024 14:19:25,30-04-2024 14:19:27,1.834s,PASSED
"setText(findTestObject(""Object Repository/Page_Your store. Login/input_Email_Email""), username)",Chrome 124.0.0.0,,,30-04-2024 14:19:27,30-04-2024 14:19:28,1.511s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Your store. Login/input_Password_Password""), password)",Chrome 124.0.0.0,,,30-04-2024 14:19:28,30-04-2024 14:19:28,0.355s,PASSED
"click(findTestObject(""Object Repository/Page_Your store. Login/button_Log in""))",Chrome 124.0.0.0,,,30-04-2024 14:19:28,30-04-2024 14:19:30,1.842s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard  nopCommerce administration/a_Logout""))",Chrome 124.0.0.0,,,30-04-2024 14:19:30,30-04-2024 14:19:36,5.660s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,30-04-2024 14:19:36,30-04-2024 14:19:36,0.152s,PASSED
